Year,Stage,away_team,date,home_team,home_result,away_result,winner
2002,Group D,"Korea, South",14/06/2002 20:30,Portugal,0,1,"Korea, South"
2002,Group D,United States,14/06/2002 20:30,Poland,3,1,Poland
2002,Group H,Russia,14/06/2002 15:30,Belgium,3,2,Belgium
2002,Round of 16,United Kingdom,15/06/2002 20:30,Denmark,0,3,United Kingdom
2002,Round of 16,Paraguay,15/06/2002 15:30,Germany,1,0,Germany
2002,Round of 16,Ireland,16/06/2002 20:30,Spain,1,1,Spain 
2002,Round of 16,Senegal,16/06/2002 15:30,Sweden,1,2,Senegal 
2002,Round of 16,Belgium,17/06/2002 20:30,Brazil,2,0,Brazil
2002,Round of 16,United States,17/06/2002 15:30,Mexico,0,2,United States
2002,Round of 16,Turkey,18/06/2002 15:30,Japan,0,1,Turkey
2002,Round of 16,Italy,18/06/2002 20:30,"Korea, South",2,1,"Korea, South "
2002,Quarter-finals,Brazil,21/06/2002 15:30,United Kingdom,1,2,Brazil
2002,Quarter-finals,United States,21/06/2002 20:30,Germany,1,0,Germany
2002,Quarter-finals,Turkey,22/06/2002 20:30,Senegal,0,1,Turkey 
2002,Quarter-finals,"Korea, South",22/06/2002 15:30,Spain,0,0,"Korea, South "
2002,Semi-finals,"Korea, South",25/06/2002 20:30,Germany,1,0,Germany
2002,Semi-finals,Turkey,26/06/2002 20:30,Brazil,1,0,Brazil
2002,Third place,Turkey,29/06/2002 20:00,"Korea, South",2,3,Turkey
2002,Final,Brazil,30/06/2002 20:00,Germany,0,2,Brazil
2006,Group A,Costa Rica,9/06/2006 18:00,Germany,4,2,Germany
2006,Group A,Ecuador,9/06/2006 21:00,Poland,0,2,Ecuador
2006,Group B,Paraguay,10/06/2006 15:00,United Kingdom,1,0,United Kingdom
2006,Group B,Sweden,10/06/2006 18:00,Trinidad and Tobago,0,0,draw
2006,Group C,Cote d'Ivoire,10/06/2006 21:00,Argentina,2,1,Argentina
2006,Group C,Netherlands,11/06/2006 15:00,Serbia,0,1,Netherlands
2006,Group D,Iran,11/06/2006 18:00,Mexico,3,1,Mexico
2006,Group D,Portugal,11/06/2006 21:00,Angola,0,1,Portugal
2006,Group F,Japan,12/06/2006 15:00,Australia,3,1,Australia
2006,Group E,Czech Republic,12/06/2006 18:00,United States,0,3,Czech Republic
2006,Group E,Ghana,12/06/2006 21:00,Italy,2,0,Italy
2006,Group G,Togo,13/06/2006 15:00,"Korea, South",2,1,"Korea, South"
2006,Group G,Switzerland,13/06/2006 18:00,France,0,0,draw
2006,Group F,Croatia,13/06/2006 21:00,Brazil,1,0,Brazil
2006,Group H,Ukraine,14/06/2006 15:00,Spain,4,0,Spain
2006,Group H,Saudi Arabia,14/06/2006 18:00,Tunisia,2,2,draw
2006,Group A,Poland,14/06/2006 21:00,Germany,1,0,Germany
2006,Group A,Costa Rica,15/06/2006 15:00,Ecuador,3,0,Ecuador
2006,Group B,Trinidad and Tobago,15/06/2006 18:00,United Kingdom,2,0,United Kingdom
2006,Group B,Paraguay,15/06/2006 21:00,Sweden,1,0,Sweden
2006,Group C,Serbia,16/06/2006 15:00,Argentina,6,0,Argentina
2006,Group C,Cote d'Ivoire,16/06/2006 18:00,Netherlands,2,1,Netherlands
2006,Group D,Angola,16/06/2006 21:00,Mexico,0,0,draw
2006,Group D,Iran,17/06/2006 15:00,Portugal,2,0,Portugal
2006,Group E,Ghana,17/06/2006 18:00,Czech Republic,0,2,Ghana
2006,Group E,United States,17/06/2006 21:00,Italy,1,1,draw
2006,Group F,Croatia,18/06/2006 15:00,Japan,0,0,draw
2006,Group F,Australia,18/06/2006 18:00,Brazil,2,0,Brazil
2006,Group G,"Korea, South",18/06/2006 21:00,France,1,1,draw
2006,Group G,Switzerland,19/06/2006 15:00,Togo,0,2,Switzerland
2006,Group H,Ukraine,19/06/2006 18:00,Saudi Arabia,0,4,Ukraine
2006,Group H,Tunisia,19/06/2006 21:00,Spain,3,1,Spain
2006,Group A,Germany,20/06/2006 16:00,Ecuador,0,3,Germany
2006,Group A,Poland,20/06/2006 16:00,Costa Rica,1,2,Poland
2006,Group B,United Kingdom,20/06/2006 21:00,Sweden,2,2,draw
2006,Group B,Trinidad and Tobago,20/06/2006 21:00,Paraguay,2,0,Paraguay
2006,Group D,Angola,21/06/2006 16:00,Iran,1,1,draw
2006,Group D,Mexico,21/06/2006 16:00,Portugal,2,1,Portugal
2006,Group C,Argentina,21/06/2006 21:00,Netherlands,0,0,draw
2006,Group C,Serbia,21/06/2006 21:00,Cote d'Ivoire,3,2,Cote d'Ivoire
2006,Group E,Italy,22/06/2006 16:00,Czech Republic,0,2,Italy
2006,Group E,United States,22/06/2006 16:00,Ghana,2,1,Ghana
2006,Group F,Brazil,22/06/2006 21:00,Japan,1,4,Brazil
2006,Group F,Australia,22/06/2006 21:00,Croatia,2,2,draw
2006,Group H,Tunisia,23/06/2006 16:00,Ukraine,1,0,Ukraine
2006,Group H,Spain,23/06/2006 16:00,Saudi Arabia,0,1,Spain
2006,Group G,France,23/06/2006 21:00,Togo,0,2,France
2006,Group G,"Korea, South",23/06/2006 21:00,Switzerland,2,0,Switzerland
2006,Round of 16,Sweden,24/06/2006 17:00,Germany,2,0,Germany
2006,Round of 16,Mexico,24/06/2006 21:00,Argentina,2,1,Argentina 
2006,Round of 16,Ecuador,25/06/2006 17:00,United Kingdom,1,0,United Kingdom
2006,Round of 16,Netherlands,25/06/2006 21:00,Portugal,1,0,Portugal
2006,Round of 16,Australia,26/06/2006 17:00,Italy,1,0,Italy
2006,Round of 16,Ukraine,26/06/2006 21:00,Switzerland,0,0,Ukraine 
2006,Round of 16,Ghana,27/06/2006 17:00,Brazil,3,0,Brazil
2006,Round of 16,France,27/06/2006 21:00,Spain,1,3,France
2006,Quarter-finals,Argentina,30/06/2006 17:00,Germany,1,1,Germany 
2006,Quarter-finals,Ukraine,30/06/2006 21:00,Italy,3,0,Italy
2006,Quarter-finals,Portugal,1/07/2006 17:00,United Kingdom,0,0,Portugal 
2006,Quarter-finals,France,1/07/2006 21:00,Brazil,0,1,France
2006,Semi-finals,Italy,4/07/2006 21:00,Germany,0,2,Italy 
2006,Semi-finals,France,5/07/2006 21:00,Portugal,0,1,France
2006,Third place,Portugal,8/07/2006 21:00,Germany,3,1,Germany
2006,Final,France,9/07/2006 20:00,Italy,1,1,Italy 
2010,Group A,Mexico,11/06/2010 16:00,South Africa,1,1,draw
2010,Group A,France,11/06/2010 20:30,Uruguay,0,0,draw
2010,Group B,Greece,12/06/2010 13:30,"Korea, South",2,0,"Korea, South"
2010,Group B,Nigeria,12/06/2010 16:00,Argentina,1,0,Argentina
2010,Group C,United States,12/06/2010 20:30,United Kingdom,1,1,draw
2010,Group C,Slovenia,13/06/2010 13:30,Algeria,0,1,Slovenia
2010,Group D,Ghana,13/06/2010 16:00,Serbia,0,1,Ghana
2010,Group D,Australia,13/06/2010 20:30,Germany,4,0,Germany
2010,Group E,Denmark,14/06/2010 13:30,Netherlands,2,0,Netherlands
2010,Group E,Cameroon,14/06/2010 16:00,Japan,1,0,Japan
2010,Group F,Paraguay,14/06/2010 20:30,Italy,1,1,draw
2010,Group F,Slovakia,15/06/2010 13:30,New Zealand,1,1,draw
2010,Group G,Portugal,15/06/2010 16:00,Cote d'Ivoire,0,0,draw
2010,Group G,"Korea, North",15/06/2010 20:30,Brazil,2,1,Brazil
2010,Group H,Chile,16/06/2010 13:30,Honduras,0,1,Chile
2010,Group H,Switzerland,16/06/2010 16:00,Spain,0,1,Switzerland
2010,Group A,Uruguay,16/06/2010 20:30,South Africa,0,3,Uruguay
